rating,year_ahead,DR_mild,DR_base,DR_severe
Aaa,1,0.0,0.0,0.0
Aaa,2,0.0,0.0,0.0
Aaa,3,0.0,0.0,0.0
Aaa,4,0.0,0.0,0.0
Aaa,5,0.0,0.0,0.0
Aaa,6,0.0,0.0,0.0
Aaa,7,0.0,0.0,0.0
Aaa,8,0.0,0.0,0.0
Aaa,9,0.0,0.0,0.0
Aaa,10,0.0,0.0,0.0
Aa,1,0.0,0.0005855126607383596,0.004051359247152324
Aa,2,0.0,0.0005820181018579355,0.004047926417040825
Aa,3,0.0,0.0005820389586943246,0.004047947276076065
Aa,4,0.0,0.0005820388342129125,0.004047947151594732
Aa,5,0.0,0.0005820388349558641,0.004047947152337684
Aa,6,0.0,0.0005820388349514299,0.004047947152333249
Aa,7,0.0,0.0005820388349514564,0.004047947152333276
Aa,8,0.0,0.0005820388349514563,0.004047947152333276
Aa,9,0.0,0.0005820388349514563,0.004047947152333276
Aa,10,0.0,0.0005820388349514563,0.004047947152333276
A,1,0.0,0.0010971598756698718,0.003924999999999982
A,2,0.0,0.0009388663396384622,0.003924999999999982
A,3,0.0,0.0008766658734088544,0.003924999999999982
A,4,0.0,0.0008522245847992368,0.003924999999999982
A,5,0.0,0.0008426205315644354,0.003924999999999982
A,6,0.0,0.0008388466782291981,0.003924999999999982
A,7,0.0,0.0008373637658954478,0.003924999999999982
A,8,0.0,0.0008367810646629818,0.003924999999999982
A,9,0.0,0.000836552095816618,0.003924999999999982
A,10,0.0,0.00083646212392419,0.003924999999999982
Baa,1,0.0,0.0017515974706026729,0.009333988741725977
Baa,2,0.0,0.002075813707583296,0.010544965474129052
Baa,3,0.0,0.002237134420238383,0.010739999999999998
Baa,4,0.0,0.002317402985976812,0.010739999999999998
Baa,5,0.0,0.0023573423250713528,0.010739999999999998
Baa,6,0.0,0.0023772149961803248,0.010739999999999998
Baa,7,0.0,0.002387103068090342,0.010739999999999998
Baa,8,0.0,0.002392023089438329,0.010739999999999998
Baa,9,0.0,0.0023944711511317447,0.010739999999999998
Baa,10,0.0,0.0023956892365079837,0.010739999999999998
Ba,1,0.0,0.008660728713727995,0.03684042597218062
Ba,2,0.0,0.009313910319932278,0.03793499999999998
Ba,3,0.0,0.009627452766989727,0.03793499999999998
Ba,4,0.0,0.009777960474452674,0.03793499999999998
Ba,5,0.0,0.009850207693986562,0.03793499999999998
Ba,6,0.0,0.009884888049021955,0.03793499999999998
Ba,7,0.0,0.009901535430514839,0.03793499999999998
Ba,8,0.0,0.00990952656296682,0.03793499999999998
Ba,9,0.0,0.00991336249343387,0.03793499999999998
Ba,10,0.0,0.00991520382976967,0.03793499999999998
B,1,0.0,0.019557308644637696,0.08517647407662789
B,2,0.0,0.025349109307496523,0.09781817372658787
B,3,0.0,0.02806369351696744,0.10182999999999993
B,4,0.0,0.029336003780952167,0.10182999999999993
B,5,0.0,0.02993232840488284,0.10182999999999993
B,6,0.0,0.030211822383020177,0.10182999999999993
B,7,0.0,0.030342819629620744,0.10182999999999993
B,8,0.0,0.030404217298118978,0.10182999999999993
B,9,0.0,0.030432994038049346,0.10182999999999993
B,10,0.0,0.030446481533279626,0.10182999999999993
Caa-C,1,0.0,0.09975138056165236,0.30868608596207975
Caa-C,2,0.0,0.10231620343425975,0.32134953402264554
Caa-C,3,0.0,0.10312322211264133,0.32313113984884273
Caa-C,4,0.0,0.10337714964666814,0.32348132057115436
Caa-C,5,0.0,0.10345704766422859,0.323570745742412
Caa-C,6,0.0,0.103482187487031,0.323596828768401
Caa-C,7,0.0,0.10349009770445358,0.32360483236642223
Caa-C,8,0.0,0.10349258664561138,0.32360733055262375
Caa-C,9,0.0,0.10349336978819218,0.32360811461050015
Caa-C,10,0.0,0.10349361620313852,0.32360836111606434
